avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed,crime_count
51.5,53.6,50,6.8,9.9,1424
47.9,50,39.2,8.3,15,1366
46.6,53.6,39.2,5.7,6,1243
56.7,66.2,48.2,8.3,9.9,1381
64.3,71.6,55.4,10.2,12,1462
64.3,68,62.6,11.9,15,1380
60.4,66.2,55.4,5.4,9.9,1397
57.3,59,53.6,7.5,9.9,1477
61.3,68,51.8,7.4,12,1256
56.1,60.8,51.8,7.2,15,1196
52.1,59,46.4,8.9,12,1366
49.8,51.8,46.4,10.7,15.9,1312
47.6,51.8,39.2,7.3,9.9,1376
56,64.4,46.4,8.5,9.9,1404
57.2,60.8,51.8,6.2,9.9,1492
60.2,69.8,48.2,5.8,9.9,1515
60,64.4,57.2,5.3,8,1364
57.8,59,55.4,4.9,6,1310
63.4,66.2,59,6.4,8,1394
59.2,64.4,51.8,7.2,12,1271
42.2,51.8,39.2,21.1,29.9,1279
41.3,42.8,39.2,16.3,25.1,1409
42.1,44.6,39.2,9.6,15,1372
45.7,53.6,37.4,9.7,12,1320
51.1,59,46.4,12.1,20,1343
50.9,51.8,50,9.9,12,1394
59,68,51.8,11,15,1577
62.7,68,59,15.2,20,1736
63.9,66.2,59,9.3,15,1460
58.6,66.2,48.2,8.4,9.9,1354
55.5,62.6,50,8,9.9,1259
50.8,55.4,46.4,8.7,15,1314
52.6,62.6,44.6,7,9.9,1338
57.8,68,50,6.9,9.9,1367
53.4,64.4,44.6,11.2,15,1305
47,53.6,39.2,11.2,16.9,1278
52.6,60.8,42.8,13.5,20,1348
47.6,50,46.4,12,20,1274
50.1,57.2,41,7.6,9.9,1247
54.9,64.4,50,10.8,12,1339
57.8,62.6,51.8,9.6,12,1311
60.8,68,55.4,7.8,9.9,1354
56.4,66.2,50,7.8,9.9,1419
51.3,55.4,48.2,7.3,9.9,1344
57.8,64.4,51.8,8.2,15,1276
50.4,62.6,46.4,10.8,15,1274
40.6,44.6,35.6,8.7,12,1302
47.5,55.4,39.2,9.9,12,1307
49.2,53.6,42.8,10.6,15,1012
52.9,59,50,12,15,1285
57.2,62.6,53.6,18.4,25.1,1396
48.5,60.8,44.6,19.9,25.1,1152
47.6,50,44.6,12.7,15,1313
46.5,53.6,39.2,14.7,21,1269
40.1,44.6,37.4,8.7,14,1334
45.4,46.4,42.8,14.5,20,1262
46.5,48.2,44.6,14.4,15.9,1367
41.9,44.6,39.2,14.2,20,1435
45.1,53.6,37.4,9.9,18.1,1174
51.6,59,46.4,11.5,25.1,1280
58.9,62.6,55.4,11.6,14,1378
62.5,68,59,15.1,29.9,1335
51,64.4,42.8,13.3,25.1,1313
45.2,48.2,42.8,12.5,20,1476
45.3,46.4,44.6,11.5,15.9,1258
39.2,42.8,30.2,10.9,18.1,1096
42.5,50,33.8,10.5,14,1277
43.5,48.2,35.6,8.1,12,1272
45.6,48.2,42.8,9.8,12,1305
44.7,46.4,39.2,10.1,12,1335
39.2,41,35.6,10.3,15,1370
39.1,42.8,35.6,9.5,12,1290
43.9,46.4,41,11.8,15,1114
45.7,46.4,42.8,10.9,15,1253
41.3,48.2,33.8,9.4,13,1251
39.3,46.4,33.8,13.1,20,1234
37.3,42.8,32,10.3,15,1174
37.1,41,32,9.4,13,1243
43.9,48.2,39.2,16.5,20,1187
32.3,50,24.8,17,20,1098
22.7,26.6,21.2,16,20,909
19.5,24.8,15.8,10.8,15,691
16.2,17.6,14,13.8,15.9,892
24.5,28.4,19.4,14.3,15.9,1061
26,28.4,23,14.4,20,1084
19,23,14,14.3,16.9,1068
15.4,19.4,8.6,13.4,20,949
17,23,10.4,14.5,16.9,1044
22.3,28.4,15.8,8.1,13,1854
28,33.8,23,7.5,11.1,1188
25.5,32,19.4,9.7,15,1118
29,41,21.2,14,20,1151
34.8,39.2,30.2,11.3,15,1104
34.5,35.6,33.8,14.9,25.1,1038
27.3,33.8,19.4,12.4,20,1172
33.7,44.6,24.8,14.5,18.1,1244
46.3,55.4,41,13.4,19,1317
45.4,51.8,41,10.2,15,1376
40.2,44.6,35.6,12.6,15.9,1337
39.1,42.8,35.6,12.4,18.1,1340
37.1,41,28.4,11,15,1197
39,42.8,35.6,11.6,15,1193
34,35.6,30.2,12.4,15.9,1355
32.3,35.6,24.8,10.5,15,1263
26,35.6,17.6,12.5,18.1,1115
20.8,24.8,17.6,10.7,14,1236
23.5,30.2,17.6,8.9,12,1182
31.7,37.4,26.6,12.9,18.1,1123
33.8,37.4,32,13.7,19,1083
44.3,55.4,35.6,14.7,20,1267
46.9,50,39.2,13.6,21,1253
38.1,41,33.8,13,15.9,1305
41.3,51.8,30.2,13.7,18.1,1402
45.2,53.6,35.6,13.6,16.9,1385
50.8,59,41,13.9,22,1274
43.8,50,37.4,11.8,15.9,1276
36.6,39.2,33.8,13.5,15,1200
34,37.4,32,13.9,22.9,1064
33.2,33.8,32,17.3,25.1,988
32,35.6,28.4,13.2,20,1378
28.6,35.6,19.4,11.7,16.9,1219
33.3,37.4,26.6,13.5,18.1,1041
23.4,32,15.8,12.1,20,1067
25.7,33.8,17.6,12.9,18.1,1153
33.1,39.2,26.6,9.4,15.9,1201
36.2,44.6,26.6,11.5,15,1227
38.3,44.6,33.8,13,15,1300
41.3,50,35.6,8,12,1261
39.3,42.8,35.6,12.6,22,1102
32.8,35.6,24.8,12.8,20,1231
39.7,42.8,35.6,18.3,25.1,1339
31.7,39.2,24.8,10.5,14,1157
37.8,44.6,32,15.4,25.1,1212
40.7,42.8,39.2,15.6,22,1394
40.3,41,39.2,13,20,1237
35.4,41,30.2,10.6,14,1040
39.5,50,32,14.1,20,1222
44.5,46.4,42.8,12.8,15.9,1171
46.6,53.6,39.2,15,22,1247
34.8,39.2,32,14,20,1253
32.4,35.6,26.6,10.4,15,1275
38.5,46.4,30.2,11.4,20,1261
49.8,60.8,39.2,14.7,19,1219
41.4,53.6,35.6,15.3,20,1214
29.4,35.6,24.8,13.1,16.9,1098
24,26.6,19.4,12.7,15.9,1192
27.1,32,17.6,13.6,25.1,1198
29.7,32,26.6,11.4,15,1539
34.4,35.6,32,11.1,16.9,1092
19.3,33.8,12.2,14.1,20,915
8.5,15.8,-0.4,14,20,968
24.4,33.8,17.6,9.5,13,1108
37.5,46.4,32,9.1,15,1233
35.3,37.4,33.8,11,15.9,1227
51.4,62.6,35.6,13.6,18.1,1467
45.8,64.4,28.4,22.1,29.9,1224
24.7,30.2,17.6,19.8,29.9,1075
36.7,44.6,26.6,13.2,20,1296
41.1,44.6,33.8,7.6,12,1278
47.5,59,39.2,10.6,15.9,1413
44.4,53.6,39.2,10.4,20,1436
43.6,57.2,39.2,13.3,18.1,1493
36.3,37.4,33.8,18.5,25.1,1256
36.9,39.2,35.6,13.5,20,1136
39.3,41,37.4,7.4,11.1,1262
39.5,42.8,35.6,6.4,9.9,1233
39.4,41,37.4,10.6,15.9,1290
28.6,37.4,23,12.7,16.9,1163
26.6,37.4,17.6,15.9,20,1218
41.4,51.8,28.4,15.4,20,1214
37,39.2,33.8,16.1,26,1227
28.5,32,24.8,22.1,26,1122
32.4,35.6,28.4,17.3,20,1216
37.9,41,30.2,9.5,14,1342
41.7,48.2,35.6,12.7,20,1424
43,46.4,39.2,7.8,12,1247
46.5,51.8,39.2,13,20,1334
44.5,48.2,39.2,11.5,19,1136
37.8,42.8,32,8.7,13,1528
40.3,46.4,33.8,11.2,15,1269
37.1,39.2,33.8,9,18.1,1304
34,39.2,32,9.9,20,1340
36.5,41,32,9.8,15,1534
37.4,41,32,9.7,15,1360
39.7,44.6,37.4,12,16.9,1103
45.8,50,44.6,5.4,9.9,1203
42.7,46.4,41,11.1,20,1348
49,62.6,39.2,9.3,14,1477
62.9,73.4,50,13.7,19,1438
58.2,69.8,44.6,11,15,1377
45.5,48.2,42.8,9.6,14,1331
58.9,75.2,41,8.9,14,1297
75.8,86,66.2,13.8,20,1494
77.6,86,68,14.7,20,1328
76.4,84.2,66.2,12,20,1347
74.7,86,57.2,12.5,21,1356
59.9,82.4,48.2,14.1,20,1364
43.6,46.4,42.8,17.5,26,1323
42.3,42.8,41,16.9,25.1,1108
40.3,42.8,39.2,10.7,15.9,1198
45.1,51.8,39.2,9.3,13,1321
60.6,71.6,46.4,12.9,20,1297
50.7,60.8,41,16.8,22.9,1326
44.6,51.8,41,11.9,15,1401
45.6,48.2,42.8,14.8,21,1281
46.9,55.4,42.8,16,23.9,1152
49.6,60.8,42.8,12.6,16.9,1479
55,60.8,50,8.1,14,1351
51.2,53.6,48.2,9.4,20,1497
50,53.6,46.4,14.1,21,1269
46.4,51.8,44.6,11.7,14,1316
53.5,60.8,42.8,8.5,12,1315
50,55.4,46.4,9.1,14,1281
63.8,75.2,51.8,9.1,15.9,1273
52.4,71.6,46.4,14.4,20,1308
51,55.4,44.6,9.6,12,1396
57.7,60.8,53.6,15.3,22.9,1396
57.8,66.2,48.2,11.8,15.9,1523
50.4,55.4,46.4,11.8,20,1267
48.2,51.8,46.4,12.3,18.1,1174
49.1,55.4,44.6,15.1,20,1405
54.9,60.8,48.2,7.5,14,1448
62.3,73.4,50,12.4,20,1540
61.4,71.6,46.4,14.9,20,1273
43.5,48.2,41,17.7,22.9,1425
43.2,46.4,41,13.2,20,1374
46.9,50,42.8,9.9,15.9,1260
44.5,46.4,41,15.6,19,1384
48.2,51.8,41,8,15,1383
56.9,66.2,48.2,12.7,19,1332
65.7,71.6,57.2,13.7,18.1,1552
49.7,68,46.4,16.3,20,1466
53.6,60.8,44.6,12.8,15.9,1382
61.2,73.4,44.6,9.7,14,1306
64.4,71.6,57.2,5.5,12,1302
60.7,64.4,57.2,4.6,8,1513
72.4,80.6,60.8,9.7,14,1460
78.1,86,69.8,10,15,1521
77.2,84.2,69.8,9.5,15,1572
83.4,93.2,69.8,11.2,19,1782
67.4,87.8,59,10.7,15,1439
61.9,71.6,55.4,11.9,20,1352
68.2,77,59,6.7,18.1,1320
58.2,73.4,51.8,10.3,14,1348
59.5,66.2,53.6,11.1,15,1482
68.8,82.4,57.2,7,12,1446
74.8,89.6,66.2,5.9,12,1348
78.6,86,69.8,6.6,14,1339
79,87.8,71.6,11,22,1402
75.5,82.4,68,11.5,16.9,1474
62.2,78.8,57.2,10.8,15,1526
57.7,59,57.2,10.8,14,1367
64,66.2,59,9.8,15,1380
64.4,77,57.2,11.5,20,1481
65.4,77,60.8,10.2,16.9,1400
67.8,73.4,62.6,7.9,12,1411
65.8,69.8,62.6,6.6,9.9,1439
71.6,80.6,66.2,8.2,12,1357
83.5,91.4,71.6,10.7,18.1,1397
77,89.6,69.8,8.3,15,1468
77.5,91.4,66.2,6.6,12,1356
83.8,89.6,77,7.9,12,1436
82.7,89.6,77,8.2,15,1390
77.8,86,71.6,8.2,16.9,1465
79.5,87.8,71.6,10.3,15,1452
74.9,86,69.8,8.7,12,1437
72.6,77,66.2,5.4,8.9,1393
76,82.4,69.8,4.4,9.9,1470
82.5,91.4,75.2,7.7,9.9,1477
87.4,93.2,78.8,10.3,15,1635
88.1,93.2,78.8,11.6,15,1411
89,93.2,80.6,9.3,15,1320
82.8,89.6,78.8,7.9,9.9,1466
74.4,77,71.6,12.8,20,1532
76.2,80.6,71.6,8.9,13,1467
79.6,86,71.6,6.8,9.9,1452
86.5,93.2,77,11,15.9,1493
77.9,89.6,69.8,11.5,15.9,1440
73,75.2,69.8,13.3,15.9,1559
71.3,73.4,68,15.4,18.1,1401
72.4,77,68,11.9,15.9,1551
74.3,78.8,69.8,11.1,14,1477
76.5,82.4,68,7.1,9.9,1407
79.6,84.2,73.4,5.9,8,1619
80.5,84.2,77,5.9,8,1535
84.1,89.6,77,7.4,12,1404
83.5,87.8,78.8,8.3,9.9,1480
77.4,78.8,75.2,10.9,15,1558
80.1,86,73.4,7.4,13,1593
89.2,96.8,78.8,11.2,15,1424
84.9,93.2,78.8,9.8,15,1454
72.5,77,69.8,14.3,20,1460
71.5,73.4,68,12.3,20,1477
73.9,78.8,69.8,9.1,12,1413
80.9,87.8,75.2,7.5,9.9,1472
79.6,89.6,73.4,12.1,18.1,1491
84.8,87.8,80.6,12.5,15,1443
80,84.2,77,11.7,21,1575
81.7,91.4,73.4,8.8,20,1543
86.6,93.2,77,9,15,1461
87,93.2,78.8,12,15.9,1688
78.3,87.8,73.4,12.9,15,1454
77.4,80.6,73.4,7.8,9.9,1462
81.2,84.2,77,7.7,13,1408
78.7,80.6,75.2,10.6,20,1425
70.8,75.2,68,17.3,20,1467
70.2,73.4,68,13.6,19,1396
73.8,78.8,69.8,8.7,12,1390
75.7,80.6,69.8,8.9,11.1,1478
80.8,87.8,69.8,9.3,15,1462
86.3,93.2,77,9.1,14,1504
83.8,89.6,73.4,12.6,16.9,1466
80.5,86,75.2,12,16.9,1424
73.5,78.8,69.8,9.6,14,1382
78.1,86,68,10.6,20,1415
77.6,84.2,73.4,8.7,14,1432
78.4,87.8,71.6,12.6,16.9,1495
72.3,84.2,64.4,7.6,12,1378
69.3,73.4,66.2,8.8,15,1316
71.3,75.2,64.4,7.5,9.9,1386
77.9,86,68,12.2,25.1,1353
73.8,82.4,68,10,16.9,1356
69.7,75.2,66.2,7.1,11.1,1467
73.3,77,69.8,7,12,1454
74.2,77,69.8,5.8,8.9,1325
75.2,78.8,71.6,9.5,13,1450
75.6,78.8,71.6,9,14,1429
73,75.2,69.8,11.5,14,1449
73.7,77,69.8,11.3,14,1283
75.9,78.8,71.6,8.9,15,1445
74.9,77,71.6,7.3,9.9,1371
77.7,82.4,69.8,7.4,9.9,1551
76.6,84.2,68,9.8,20,1364
76.8,80.6,71.6,9.8,14,1439
75,77,69.8,8.7,9.9,1389
72.2,78.8,68,9.4,14,1408
75.5,82.4,68,8.3,12,1559
77.2,82.4,69.8,7.5,9.9,1446
79.2,82.4,71.6,4.5,7,1369
81.5,86,77,6.2,8.9,1352
81.2,89.6,73.4,8.7,14,1321
69.5,73.4,64.4,10.5,14,1394
71.4,77,64.4,6.7,9.9,1313
72.4,78.8,64.4,7.8,9.9,1477
76,84.2,66.2,7.8,9.9,1450
69.9,78.8,66.2,13.4,20,1412
67.3,73.4,59,8.6,9.9,1385
70.9,77,62.6,7.8,11.1,1475
72.7,80.6,66.2,11,15,1386
78.2,80.6,75.2,11.8,18.1,1435
72,78.8,69.8,13.6,20,1596
71,80.6,60.8,9.7,14,1398
60.9,68,51.8,9.9,14,1376
62,69.8,51.8,8.7,13,1291
56.6,68,46.4,7.7,9.9,1333
63.6,71.6,57.2,8.5,9.9,1391
65.7,69.8,59,7.6,9.9,1413
63.3,66.2,60.8,12.8,18.1,1459
65,71.6,59,7.9,15,1402
73.1,84.2,64.4,8.8,14,1413
77.5,84.2,69.8,11.8,15,1391
77.4,80.6,71.6,11,15,1763
69.2,78.8,64.4,9.1,15,1469
62,64.4,60.8,9.9,15.9,1437
68.2,73.4,62.6,13.4,22,1536
58.3,64.4,50,7.6,12,1410
62.5,69.8,55.4,13.2,18.1,1388
51.7,60.8,44.6,11,18.1,1282
58,66.2,51.8,10.1,13,1381
58,62.6,53.6,8.4,13,1455
61.8,68,57.2,6.4,8.9,1366
62.8,64.4,59,6.5,9.9,1561
61.9,69.8,57.2,6.9,16.9,1406
48.8,57.2,41,11,14,1147
50.4,57.2,41,8.7,13,1341
52.3,55.4,44.6,10.6,15,1464
48.4,51.8,44.6,12.6,15,1321
44.7,46.4,42.8,8.7,13,1326
50,60.8,41,10.5,15,1444
49.4,60.8,42.8,8.9,12,1365
44.8,50,39.2,6.8,9.9,1340
50.5,57.2,44.6,10.1,15,1350
46.9,55.4,41,8.2,12,1261
45.8,48.2,44.6,13.7,20,1357
44.7,46.4,42.8,13.2,15,1368
46.4,48.2,44.6,10.3,14,1390
48,48.2,46.4,6.9,8.9,1399
45.4,48.2,44.6,7.8,12,1276
46.5,50,44.6,11.6,14,1332
45.2,50,42.8,16,20,1396
45,48.2,42.8,13.4,20,1351
46.1,50,42.8,8.1,13,1463
36.8,42.8,28.4,10.3,15,1551
39.1,48.2,30.2,9.8,13,1321
41,46.4,33.8,6.9,9.9,1145
41.2,44.6,35.6,7.5,9.9,1257
41.3,42.8,39.2,7.1,11.1,1171
41.1,42.8,37.4,9.3,13,1235
47.4,59,39.2,9.2,13,1291
56.7,62.6,50,14.2,20,1284
59.8,62.6,55.4,13.8,16.9,1442
60.2,60.8,57.2,11.7,15.9,1263
