avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed
62.3,73.4,50.0,12.4,20.0
61.4,71.6,46.4,14.9,20.0
43.5,48.2,41.0,17.7,22.9
43.2,46.4,41.0,13.2,20.0
46.9,50.0,42.8,9.9,15.9
44.5,46.4,41.0,15.6,19.0
48.2,51.8,41.0,8.0,15.0
56.9,66.2,48.2,12.7,19.0
65.7,71.6,57.2,13.7,18.1
49.7,68.0,46.4,16.3,20.0
53.6,60.8,44.6,12.8,15.9
61.2,73.4,44.6,9.7,14.0
64.4,71.6,57.2,5.5,12.0
60.7,64.4,57.2,4.6,8.0
72.4,80.6,60.8,9.7,14.0
78.1,86.0,69.8,10.0,15.0
77.2,84.2,69.8,9.5,15.0
83.4,93.2,69.8,11.2,19.0
67.4,87.8,59.0,10.7,15.0
61.9,71.6,55.4,11.9,20.0
68.2,77.0,59.0,6.7,18.1
58.2,73.4,51.8,10.3,14.0
59.5,66.2,53.6,11.1,15.0
68.8,82.4,57.2,7.0,12.0
74.8,89.6,66.2,5.9,12.0
78.6,86.0,69.8,6.6,14.0
79.0,87.8,71.6,11.0,22.0
75.5,82.4,68.0,11.5,16.9
62.2,78.8,57.2,10.8,15.0
57.7,59.0,57.2,10.8,14.0
64.0,66.2,59.0,9.8,15.0
64.4,77.0,57.2,11.5,20.0
65.4,77.0,60.8,10.2,16.9
67.8,73.4,62.6,7.9,12.0
65.8,69.8,62.6,6.6,9.9
71.6,80.6,66.2,8.2,12.0
83.5,91.4,71.6,10.7,18.1
77.0,89.6,69.8,8.3,15.0
77.5,91.4,66.2,6.6,12.0
83.8,89.6,77.0,7.9,12.0
82.7,89.6,77.0,8.2,15.0
77.8,86.0,71.6,8.2,16.9
79.5,87.8,71.6,10.3,15.0
74.9,86.0,69.8,8.7,12.0
72.6,77.0,66.2,5.4,8.9
76.0,82.4,69.8,4.4,9.9
82.5,91.4,75.2,7.7,9.9
87.4,93.2,78.8,10.3,15.0
88.1,93.2,78.8,11.6,15.0
89.0,93.2,80.6,9.3,15.0
82.8,89.6,78.8,7.9,9.9
74.4,77.0,71.6,12.8,20.0
76.2,80.6,71.6,8.9,13.0
79.6,86.0,71.6,6.8,9.9
86.5,93.2,77.0,11.0,15.9
77.9,89.6,69.8,11.5,15.9
73.0,75.2,69.8,13.3,15.9
71.3,73.4,68.0,15.4,18.1
72.4,77.0,68.0,11.9,15.9
74.3,78.8,69.8,11.1,14.0
76.5,82.4,68.0,7.1,9.9
79.6,84.2,73.4,5.9,8.0
80.5,84.2,77.0,5.9,8.0
84.1,89.6,77.0,7.4,12.0
83.5,87.8,78.8,8.3,9.9
77.4,78.8,75.2,10.9,15.0
80.1,86.0,73.4,7.4,13.0
89.2,96.8,78.8,11.2,15.0
84.9,93.2,78.8,9.8,15.0
72.5,77.0,69.8,14.3,20.0
71.5,73.4,68.0,12.3,20.0
73.9,78.8,69.8,9.1,12.0
80.9,87.8,75.2,7.5,9.9
79.6,89.6,73.4,12.1,18.1
84.8,87.8,80.6,12.5,15.0
80.0,84.2,77.0,11.7,21.0
81.7,91.4,73.4,8.8,20.0
86.6,93.2,77.0,9.0,15.0
87.0,93.2,78.8,12.0,15.9
78.3,87.8,73.4,12.9,15.0
77.4,80.6,73.4,7.8,9.9
81.2,84.2,77.0,7.7,13.0
78.7,80.6,75.2,10.6,20.0
70.8,75.2,68.0,17.3,20.0
70.2,73.4,68.0,13.6,19.0
73.8,78.8,69.8,8.7,12.0
75.7,80.6,69.8,8.9,11.1
80.8,87.8,69.8,9.3,15.0
86.3,93.2,77.0,9.1,14.0
83.8,89.6,73.4,12.6,16.9
80.5,86.0,75.2,12.0,16.9
73.5,78.8,69.8,9.6,14.0
78.1,86.0,68.0,10.6,20.0
77.6,84.2,73.4,8.7,14.0
78.4,87.8,71.6,12.6,16.9
72.3,84.2,64.4,7.6,12.0
69.3,73.4,66.2,8.8,15.0
71.3,75.2,64.4,7.5,9.9
77.9,86.0,68.0,12.2,25.1
73.8,82.4,68.0,10.0,16.9
69.7,75.2,66.2,7.1,11.1
73.3,77.0,69.8,7.0,12.0
74.2,77.0,69.8,5.8,8.9
75.2,78.8,71.6,9.5,13.0
75.6,78.8,71.6,9.0,14.0
73.0,75.2,69.8,11.5,14.0
73.7,77.0,69.8,11.3,14.0
75.9,78.8,71.6,8.9,15.0
74.9,77.0,71.6,7.3,9.9
77.7,82.4,69.8,7.4,9.9
76.6,84.2,68.0,9.8,20.0
76.8,80.6,71.6,9.8,14.0
75.0,77.0,69.8,8.7,9.9
72.2,78.8,68.0,9.4,14.0
75.5,82.4,68.0,8.3,12.0
77.2,82.4,69.8,7.5,9.9
79.2,82.4,71.6,4.5,7.0
81.5,86.0,77.0,6.2,8.9
81.2,89.6,73.4,8.7,14.0
69.5,73.4,64.4,10.5,14.0
71.4,77.0,64.4,6.7,9.9
72.4,78.8,64.4,7.8,9.9
76.0,84.2,66.2,7.8,9.9
69.9,78.8,66.2,13.4,20.0
67.3,73.4,59.0,8.6,9.9
70.9,77.0,62.6,7.8,11.1
72.7,80.6,66.2,11.0,15.0
78.2,80.6,75.2,11.8,18.1
72.0,78.8,69.8,13.6,20.0
71.0,80.6,60.8,9.7,14.0
60.9,68.0,51.8,9.9,14.0
62.0,69.8,51.8,8.7,13.0
56.6,68.0,46.4,7.7,9.9
63.6,71.6,57.2,8.5,9.9
65.7,69.8,59.0,7.6,9.9
63.3,66.2,60.8,12.8,18.1
65.0,71.6,59.0,7.9,15.0
73.1,84.2,64.4,8.8,14.0
77.5,84.2,69.8,11.8,15.0
77.4,80.6,71.6,11.0,15.0
69.2,78.8,64.4,9.1,15.0
62.0,64.4,60.8,9.9,15.9
68.2,73.4,62.6,13.4,22.0
58.3,64.4,50.0,7.6,12.0
62.5,69.8,55.4,13.2,18.1
51.7,60.8,44.6,11.0,18.1
58.0,66.2,51.8,10.1,13.0
58.0,62.6,53.6,8.4,13.0
61.8,68.0,57.2,6.4,8.9
62.8,64.4,59.0,6.5,9.9
61.9,69.8,57.2,6.9,16.9
48.8,57.2,41.0,11.0,14.0
50.4,57.2,41.0,8.7,13.0
52.3,55.4,44.6,10.6,15.0
48.4,51.8,44.6,12.6,15.0
44.7,46.4,42.8,8.7,13.0
50.0,60.8,41.0,10.5,15.0
49.4,60.8,42.8,8.9,12.0
44.8,50.0,39.2,6.8,9.9
50.5,57.2,44.6,10.1,15.0
46.9,55.4,41.0,8.2,12.0
45.8,48.2,44.6,13.7,20.0
44.7,46.4,42.8,13.2,15.0
46.4,48.2,44.6,10.3,14.0
48.0,48.2,46.4,6.9,8.9
45.4,48.2,44.6,7.8,12.0
46.5,50.0,44.6,11.6,14.0
45.2,50.0,42.8,16.0,20.0
45.0,48.2,42.8,13.4,20.0
46.1,50.0,42.8,8.1,13.0
36.8,42.8,28.4,10.3,15.0
39.1,48.2,30.2,9.8,13.0
41.0,46.4,33.8,6.9,9.9
41.2,44.6,35.6,7.5,9.9
41.3,42.8,39.2,7.1,11.1
41.1,42.8,37.4,9.3,13.0
47.4,59.0,39.2,9.2,13.0
56.7,62.6,50.0,14.2,20.0
59.8,62.6,55.4,13.8,16.9
60.2,60.8,57.2,11.7,15.9
43.8,51.8,39.2,9.0,14.0
42.2,44.6,41.0,7.8,11.1
47.5,57.2,39.2,7.5,9.9
51.8,55.4,44.6,13.2,16.9
40.7,44.6,39.2,19.7,26.0
36.5,37.4,35.6,15.6,20.0
36.8,39.2,32.0,12.2,16.9
38.7,46.4,33.8,11.7,15.0
47.2,53.6,37.4,12.0,15.0
50.5,55.4,46.4,9.5,12.0
43.7,50.0,39.2,15.9,29.9
38.0,41.0,35.6,13.7,20.0
41.0,48.2,33.8,12.2,15.9
38.6,42.8,32.0,9.7,15.0
